company,legal_name,input_status,input_batch,official_yc_name,official_yc_batch,round_date,date_precision,round_type,amount_usd,price_or_terms,lead_investors,all_publicly_named_investors,source_reference,source_url,source_confidence,notes
o11,O11 Inc.,Active,W26,o11,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Opennote,"Opennote, Inc.",Active,S25,Opennote,S25,2025-04-01,month_only,Pre-seed,"$850,000",All-equity round; company said the financing was closed on SAFEs.,Y Combinator; Afore Capital,Y Combinator; Afore Capital; unnamed angel investors,"Opennote raises $850,000 USD, secures Y Combinator spot for edtech platform | BetaKit",https://betakit.com/opennote-raises-850000-usd-secures-y-combinator-spot-for-edtech-platform/,high,BetaKit reported the round closed in April 2025; exact closing day was not disclosed.
Opennote,"Opennote, Inc.",Active,S25,Opennote,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Orange Slice,"Orange Slice AI, Inc.",Active,S25,Orange Slice,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Orange Slice,"Orange Slice AI, Inc.",Active,S25,Orange Slice,S25,2025-11-24,exact,Seed,"$1,900,000",Not publicly disclosed,General Catalyst,General Catalyst; Y Combinator; Pioneer Fund; Flex Capital; Ryan Hoover; Shopify veterans,Orange Slice funding search results / TechCrunch snippet,,medium,TechCrunch search snippet named General Catalyst and several participating investors.
Origami Robotics,,Active,W26,Origami Robotics,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Osmosis,Gulp AI Inc.,Active,W25,Osmosis,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Parahelp,Copilot Labs Inc,Active,S24,Parahelp,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Parahelp,Copilot Labs Inc,Active,S24,Parahelp,S24,2024-12-03,exact,Pre-seed,Undisclosed,Not publicly disclosed,Not publicly specified,Y Combinator; Sequoia Capital; Liquid2 Ventures; Google for Startups,Parahelp funding search results (Crunchbase snippet),,medium,Crunchbase search snippet indicates Parahelp has raised three rounds; only the latest pre-seed round could be partially enumerated from public snippets.
Partcl,"Partcl, Inc.",Active,X25,Partcl,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Pax Historia,"Pax Historia, Co.",Active,W26,Pax Historia,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Perseus,"Perseus Defense, Inc.",Active,S25,Perseus Defense,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Piggy Robotics,Rigmanic inc,Active,S24,Piggy Robotics,F25,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Pingo,"Pingo AI, Inc.",Active,S25,Pingo AI,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Piris Labs,Piris Labs Inc.,Acive,W26,Piris Labs,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Pollen,"Daymi, Inc.",Active,W26,Pollen,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Prana,,Active,W26,Prana,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Proliferate,Keystone Automation Inc.,Active,S25,Proliferate,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Prox,Dart Labs Inc,Active,F25,Prox,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
QFEX,"QFEX Holdings, Inc.",Active,X25,QFEX,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
QFEX,"QFEX Holdings, Inc.",Active,X25,QFEX,X25,2026-03-05,exact,Seed,"$9,500,000",Not publicly disclosed,Dragonfly; Manifold,Dragonfly; Manifold; HSF; Mirana; Hash3; Provenance; MoonPay Ventures; Double Peak; 1A1z; WAGMi Ventures; Ashwin Ramachandran; Chris Adelsbach,QFEX completes $9.5 million seed round led by Dragonfly and Manifold,,medium,Investor list from public fintech coverage; pricing not disclosed.
Relling,Relling Corp.,Active,S25,Relling,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Revise Robotics,Revise Robotics Inc.,Active,W25,Revise Robotics,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
RunRL,"RunRL, Inc.",Active,X25,RunRL,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
RunRL,"RunRL, Inc.",Active,X25,RunRL,X25,2025-09-19,exact,Seed,Undisclosed,Not publicly disclosed,Pear VC,Pear VC; Y Combinator,RunRL funding search results (Crunchbase snippet),,medium,Public search snippets show a seed round dated 2025-09-19.
SalesPatriot,"Salespatriot, Inc.",Active,W25,SalesPatriot,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
SalesPatriot,"Salespatriot, Inc.",Active,W25,SalesPatriot,W25,2025-10-28,exact,Seed,"$5,000,000",Not publicly disclosed,CRV,CRV; Pear VC; Y Combinator; SV Angel; Liquid2 Ventures; Uncorrelated Ventures; Paul Graham; Rich Miner; Mark Pincus; Steve Blank; Mati Staniszewski,We've raised $5M and we're hiring,https://salespatriot.com/blog/5-million-seed-funding,high,"Official company post named the lead, funds, and angel backers."
Selfin,Selfin Inc,Active,F25,Selfin,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
SF Tensor,San Francisco Tensor Company,Active,F25,SF Tensor,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Sim,Sim Studio,Active,X25,Sim,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Sim,Sim Studio,Active,X25,Sim,X25,2025-11-12,exact,Series A,"$7,000,000",Not publicly disclosed,a16z Speedrun,a16z Speedrun; Liquid2 Ventures; Pioneer Fund; Y Combinator; Microsoft executives; Google executives,$7M Series A | Sim,https://www.sim.ai/studio/series-a,high,Official company post named lead investor and categories of participating strategic angels.
Slashy,"Karvix, Inc.",Active,S25,Slashy,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Solva,Solva Technology Inc,Active,S25,Solva,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Sorce,"redantai, Inc.",Active,F25,Sorce,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Stack Auth,Stackframe Inc,Active,S24,Stack Auth,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Stellon Labs,Stellon Labs INC.,Active,S25,Stellon Labs,S25,2025-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Structured AI,Structured Software Inc,Active,F25,Structured AI,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Structured AI,Structured Software Inc,Active,F25,Structured AI,F25,2025-10-04,exact,Undisclosed venture round,Undisclosed,Not publicly disclosed,Not publicly specified,Not publicly disclosed,"WSJ: Europe’s AI Startups Look Stateside for Bigger Checks, Quicker Deals",https://www.wsj.com/tech/ai/europes-ai-startups-look-stateside-for-bigger-checks-quicker-deals-1a1dff43?,medium,News coverage indicates fundraising activity but did not publicly disclose the round size or investor list in accessible snippets.
Subtrace,"Subtrace, Inc.",Active,W25,Subtrace,W25,2025-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Sunset,Sunset Software Inc,Active,F24,Sunset,F24,2024-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Sunset,Sunset Software Inc,Active,F24,Sunset,F24,2024-12-05,exact,Pre-seed,"$500,000",Not publicly disclosed,Y Combinator; Unpopular Ventures,Y Combinator; Unpopular Ventures,Sunset funding search results / YC jobs page,,medium,Public snippets show a $500k pre-seed round dated 2024-12-05.
Tinfoil,"Tinfoil, Inc.",Active,X25,Tinfoil,X25,2024-07-01,exact,Pre-seed,Undisclosed,Not publicly disclosed,Not publicly specified,Not publicly disclosed,Tinfoil funding search results (Crunchbase snippet),,medium,Public search snippets indicate a pre-seed round on 2024-07-01 but do not expose the investor list.
Tinfoil,"Tinfoil, Inc.",Active,X25,Tinfoil,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Tinfoil,"Tinfoil, Inc.",Active,X25,Tinfoil,X25,2025-07-15,exact,Seed,Undisclosed,Not publicly disclosed,Pioneer Fund,Pioneer Fund,Tinfoil funding search results (latest seed round snippet),,medium,Public search snippets named Pioneer Fund on the latest seed round but did not expose the amount.
True3D Labs,True3D Technologies Inc,Active,W21,True3D Labs,W21,2021-01-01,approx_batch_period,YC standard deal,"$125,000","$125,000 for 7% (standard YC deal in 2021 batch materials).",Y Combinator,Y Combinator,How to Apply and Succeed at YC (2021),https://www.ycombinator.com/blog/how-to-apply-and-succeed-at-yc,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Veria Labs,"Veria Labs, Inc.",Active,F25,Veria Labs,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Vesence,"Versenium, Inc.",Active,X25,Vesence,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Vesence,"Versenium, Inc.",Active,X25,Vesence,X25,2025-10-28,exact,Seed,"$9,000,000",Not publicly disclosed,Emergence Capital,Emergence Capital; Creandum; Y Combinator; 20VC; Paul Graham; Anton Osika; Jason Boehmig,Vesence Raises $9M Seed Round | Vesence,https://www.vesence.com/blog/seed-round-announcement,high,Official company announcement publicly named the round lead and participating investors.
Wardstone,Wardstone Inc.,Active,F25,Wardstone,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Wayco,"Wayco AI, Inc.",Active,W26,Wayco,W26,2026-01-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
YouLearn,Youlearn Inc.,Active,X25,YouLearn,X25,2025-04-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
YouLearn,Youlearn Inc.,Active,X25,YouLearn,X25,2025-06-02,exact,Seed,Undisclosed,Not publicly disclosed,Not publicly specified,Y Combinator; Christopher Howard,YouLearn funding search results (Crunchbase / company profile snippets),,medium,Public search snippets show a seed round dated 2025-06-02 with two named investors.
Zavo,Zavo Inc,Active,F25,Zavo,F25,2025-09-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Zeropath,Zeropath Corp.,Active,S24,ZeroPath,S24,2024-06-01,approx_batch_period,YC standard deal,"$500,000","$125,000 for 7% plus $375,000 on an uncapped SAFE with MFN.",Y Combinator,Y Combinator,Y Combinator's Standard Deal,https://www.ycombinator.com/deal,high,Approximate batch-period date used for ordering; exact YC close date is not public.
Zeropath,Zeropath Corp.,Active,S24,ZeroPath,S24,2024-09-19,exact,Pre-seed,Undisclosed,Not publicly disclosed,Not publicly specified,Y Combinator; Mergus Ventures,ZeroPath company / funding database snippets,,medium,Public search snippets show a pre-seed round dated 2024-09-19.
Zeropath,Zeropath Corp.,Active,S24,ZeroPath,S24,2025-01-22,exact,Seed,Undisclosed,Not publicly disclosed,SurgePoint Capital,SurgePoint Capital; Y Combinator; Paul Graham,"ZeroPath funding search results (Jan. 22, 2025 seed round)",,medium,Public search results named investors but did not disclose amount or pricing.
